N = 100; S = 0.680550
N = 600; S = 0.891196
N = 1100; S = 0.928022
N = 1600; S = 0.978290
N = 2100; S = 0.944436
N = 2600; S = 0.904907
N = 3100; S = 0.896945
N = 3600; S = 0.899298
N = 4100; S = 0.910561
N = 4600; S = 0.891900
N = 5100; S = 0.890243
N = 5600; S = 0.897561
N = 6100; S = 0.897305
N = 6600; S = 0.880884
N = 7100; S = 0.894163
N = 7600; S = 0.906973
N = 8100; S = 0.915801
N = 8600; S = 0.908907
N = 9100; S = 0.911317
N = 9600; S = 0.912463
N = 10100; S = 0.926972
N = 10600; S = 0.924520
N = 11100; S = 0.927544
N = 11600; S = 0.934498
N = 12100; S = 0.937664
N = 12600; S = 0.936720
N = 13100; S = 0.928427
N = 13600; S = 0.932896
N = 14100; S = 0.934980
N = 14600; S = 0.937587
N = 15100; S = 0.935514
N = 15600; S = 0.930458
N = 16100; S = 0.932359
N = 16600; S = 0.934731
N = 17100; S = 0.932415
N = 17600; S = 0.934651
N = 18100; S = 0.940523
N = 18600; S = 0.944511
N = 19100; S = 0.950835
N = 19600; S = 0.953861
N = 20100; S = 0.954801
N = 20600; S = 0.955223
N = 21100; S = 0.954705
N = 21600; S = 0.959611
N = 22100; S = 0.963415
N = 22600; S = 0.960599
N = 23100; S = 0.958325
N = 23600; S = 0.960267
N = 24100; S = 0.956884
N = 24600; S = 0.954034
N = 25100; S = 0.956720
N = 25600; S = 0.958922
N = 26100; S = 0.958431
N = 26600; S = 0.960883
N = 27100; S = 0.957505
N = 27600; S = 0.957067
N = 28100; S = 0.954222
N = 28600; S = 0.957596
N = 29100; S = 0.956845
N = 29600; S = 0.955791
N = 30100; S = 0.955095
N = 30600; S = 0.956963
N = 31100; S = 0.955958
N = 31600; S = 0.957446
N = 32100; S = 0.959796
N = 32600; S = 0.955811
N = 33100; S = 0.956353
N = 33600; S = 0.956299
N = 34100; S = 0.955107
N = 34600; S = 0.955073
N = 35100; S = 0.953656
N = 35600; S = 0.951732
N = 36100; S = 0.949322
N = 36600; S = 0.949104
N = 37100; S = 0.953346
N = 37600; S = 0.952821
N = 38100; S = 0.951289
N = 38600; S = 0.952820
N = 39100; S = 0.952322
N = 39600; S = 0.952082
N = 40100; S = 0.948696
N = 40600; S = 0.948507
N = 41100; S = 0.952817
N = 41600; S = 0.950713
N = 42100; S = 0.948428
N = 42600; S = 0.947794
N = 43100; S = 0.946950
N = 43600; S = 0.947016
N = 44100; S = 0.949507
N = 44600; S = 0.949325
N = 45100; S = 0.948932
N = 45600; S = 0.948335
N = 46100; S = 0.947539
N = 46600; S = 0.950933
N = 47100; S = 0.950953
N = 47600; S = 0.949542
N = 48100; S = 0.946342
N = 48600; S = 0.949209
N = 49100; S = 0.949245
N = 49600; S = 0.950456
N = 50100; S = 0.948927
N = 50600; S = 0.948004
N = 51100; S = 0.946909
N = 51600; S = 0.946024
N = 52100; S = 0.944409
N = 52600; S = 0.943934
N = 53100; S = 0.943468
N = 53600; S = 0.943555
N = 54100; S = 0.944359
N = 54600; S = 0.943724
N = 55100; S = 0.943100
N = 55600; S = 0.945635
N = 56100; S = 0.945699
N = 56600; S = 0.944043
N = 57100; S = 0.942587
N = 57600; S = 0.944195
N = 58100; S = 0.945942
N = 58600; S = 0.944839
N = 59100; S = 0.945729
N = 59600; S = 0.945625
N = 60100; S = 0.945360
N = 60600; S = 0.944459
N = 61100; S = 0.944209
N = 61600; S = 0.944910
N = 62100; S = 0.944973
N = 62600; S = 0.944724
N = 63100; S = 0.944788
N = 63600; S = 0.945921
N = 64100; S = 0.945368
N = 64600; S = 0.945275
N = 65100; S = 0.944436
N = 65600; S = 0.944648
N = 66100; S = 0.944121
N = 66600; S = 0.944186
N = 67100; S = 0.943960
N = 67600; S = 0.942875
N = 68100; S = 0.942233
N = 68600; S = 0.942169
N = 69100; S = 0.941401
N = 69600; S = 0.940505
N = 70100; S = 0.940870
N = 70600; S = 0.941229
N = 71100; S = 0.941311
N = 71600; S = 0.941119
N = 72100; S = 0.941470
N = 72600; S = 0.943288
N = 73100; S = 0.943087
N = 73600; S = 0.943285
N = 74100; S = 0.943611
N = 74600; S = 0.943803
N = 75100; S = 0.944251
N = 75600; S = 0.944436
N = 76100; S = 0.944491
N = 76600; S = 0.944799
N = 77100; S = 0.943589
N = 77600; S = 0.944024
N = 78100; S = 0.943582
N = 78600; S = 0.942899
N = 79100; S = 0.943330
N = 79600; S = 0.943756
N = 80100; S = 0.943812
N = 80600; S = 0.943867
N = 81100; S = 0.944522
N = 81600; S = 0.944096
N = 82100; S = 0.944030
N = 82600; S = 0.943024
N = 83100; S = 0.943199
N = 83600; S = 0.943140
N = 84100; S = 0.943775
N = 84600; S = 0.944518
N = 85100; S = 0.944795
N = 85600; S = 0.943479
N = 86100; S = 0.944549
N = 86600; S = 0.943923
N = 87100; S = 0.943527
N = 87600; S = 0.943469
N = 88100; S = 0.942970
N = 88600; S = 0.942696
N = 89100; S = 0.943298
N = 89600; S = 0.942591
N = 90100; S = 0.944051
N = 90600; S = 0.944957
N = 91100; S = 0.943826
N = 91600; S = 0.944936
N = 92100; S = 0.945507
N = 92600; S = 0.945651
N = 93100; S = 0.946525
N = 93600; S = 0.946246
N = 94100; S = 0.947831
N = 94600; S = 0.947754
N = 95100; S = 0.947576
N = 95600; S = 0.947298
N = 96100; S = 0.946821
N = 96600; S = 0.947053
N = 97100; S = 0.945881
N = 97600; S = 0.947410
N = 98100; S = 0.948131
N = 98600; S = 0.948944
N = 99100; S = 0.948472
N = 99600; S = 0.947518
